rule_id,rule_family,condition_description,item_type,customer_outcome_related,measurable,customer_confirmed,system_of_record_available,repeat_signal_likely,time_bound,owner,allowed_sources,should_promote_to_kpi,kpi_type,final_classification,manual_review_required,min_evidence_count,reason
R1,system_of_record,Metric explicitly documented in a system of record or customer plan,KPI_CANDIDATE,yes,yes,yes,yes,unclear,no,customer,SALESFORCE|VITALLY|SHAREPOINT|GOOGLE_DRIVE,yes,committed,COMMITTED_KPI,no,1,Strongest KPI case because customer metric already exists in a formal record
R2,system_of_record,Metric with explicit current value or target value already documented,KPI_CANDIDATE,yes,yes,yes,yes,unclear,no,customer,SALESFORCE|VITALLY|SHAREPOINT|GOOGLE_DRIVE,yes,committed,COMMITTED_KPI,no,1,Clear measurable KPI with formal source of truth
R3,customer_confirmed,Customer explicitly confirms a measurable success criterion even if not in a formal system,KPI_CANDIDATE,yes,yes,yes,no,yes,no,customer,FATHOM|SLACK|VITALLY|AM_MEETING,yes,confirmed_working,CONFIRMED_WORKING_KPI,yes,2,Strong KPI because customer confirmed it in relationship workflow
R4,repeated_goal,Measurable goal repeatedly discussed across meetings notes or messages,KPI_CANDIDATE,yes,yes,no,no,yes,no,shared,FATHOM|SLACK|VITALLY|AM_MEETING,yes,working,WORKING_KPI,yes,2,Good working KPI candidate even if not formally documented
R5,repeated_goal,Measurable target repeatedly discussed but still partially specified,CUSTOMER_GOAL,yes,partial,no,no,yes,no,shared,FATHOM|SLACK|VITALLY|AM_MEETING,review,suggested,SUGGESTED_KPI,yes,2,Needs human review before becoming KPI
R6,issue_as_success_condition,Blocker repeatedly described as required for rollout renewal or expansion,BLOCKER,yes,partial,yes,no,yes,yes,shared,FATHOM|SLACK|JIRA|VITALLY,review,working,WORKING_KPI,yes,2,Could become a KPI if the team wants success-condition blockers elevated
R7,blocker_only,Operational blocker with no measurable success framing,BLOCKER,partial,no,unclear,no,no,yes,shared,JIRA|FATHOM|SLACK|VITALLY,no,na,BLOCKER,no,1,Should stay blocker by default
R8,milestone,Time-bound delivery or launch item tied to customer success,MILESTONE,partial,partial,yes,no,unclear,yes,shared,FATHOM|SLACK|AM_MEETING|SALESFORCE,review,suggested,MILESTONE,yes,1,Important item but should not automatically become KPI
R9,feature_request,Feature request without measurable success framing,FEATURE_REQUEST,partial,no,yes,no,no,no,customer,FATHOM|SLACK|VITALLY,no,na,FEATURE_REQUEST,no,1,Product signal not KPI
R10,context_only,General positive or negative commentary with no measurable success condition,GENERAL_CONTEXT,no,no,unclear,no,no,no,unknown,FATHOM|SLACK|VITALLY|SHAREPOINT|GOOGLE_DRIVE,no,na,CONTEXT_ONLY,no,1,Useful context for humans or health but not KPI
R11,health_signal,Signal influences health interpretation but is not itself a tracked KPI,RISK_SIGNAL,partial,no,unclear,no,yes,no,shared,JIRA|SLACK|VITALLY|FATHOM,no,na,HEALTH_SIGNAL,no,1,Keep for scoring context without creating KPI row
R12,internal_only,Internal task or milestone not explicitly tied to customer outcome,INTERNAL_ONLY,no,no,no,no,no,no,internal,SLACK|SHAREPOINT|GOOGLE_DRIVE,no,na,INTERNAL_ONLY,no,1,Should never become customer KPI
R13,adoption,Measurable rollout usage or enablement metric,KPI_CANDIDATE,yes,yes,depends,no,yes,no,shared,FATHOM|SLACK|VITALLY|SALESFORCE,yes,working,WORKING_KPI,yes,2,Common KPI family across many sources
R14,efficiency,Measurable time saved response time turnaround or process improvement metric,KPI_CANDIDATE,yes,yes,depends,no,yes,no,shared,FATHOM|SLACK|VITALLY|SALESFORCE,yes,working,WORKING_KPI,yes,2,Common KPI family when tied to customer outcome
R15,deflection,Measurable ticket reduction self-service or support deflection metric,KPI_CANDIDATE,yes,yes,depends,no,yes,no,shared,FATHOM|SLACK|VITALLY|SALESFORCE,yes,working,WORKING_KPI,yes,2,High-value KPI family for support use cases
R16,revenue,Measurable commercial outcome or expansion threshold tied to customer success,KPI_CANDIDATE,yes,yes,depends,no,yes,no,shared,FATHOM|VITALLY|SALESFORCE,yes,working,WORKING_KPI,yes,2,Valid KPI when it reflects real account success condition
R17,retention,Measurable renewal readiness or value continuity metric,KPI_CANDIDATE,yes,yes,depends,no,yes,no,shared,FATHOM|VITALLY|SALESFORCE,yes,working,WORKING_KPI,yes,2,Valid KPI when framed as measurable account outcome
R18,satisfaction,Structured satisfaction metric such as NPS or CSAT,KPI_CANDIDATE,yes,yes,yes,yes,unclear,no,customer,VITALLY|FATHOM|SLACK,yes,committed,COMMITTED_KPI,no,1,Already a recognized measurable KPI family
R19,single_weak_signal,Metric-like statement mentioned once with weak evidence,KPI_CANDIDATE,yes,partial,unclear,no,no,no,unknown,ANY,review,suggested,SUGGESTED_KPI,yes,1,Should remain suggestion until more evidence arrives
R20,composite_outcome,Broad business outcome with enough specificity to measure over time,CUSTOMER_GOAL,yes,partial,depends,depends,yes,no,shared,SALESFORCE|VITALLY|FATHOM|SHAREPOINT|GOOGLE_DRIVE,review,suggested,SUGGESTED_KPI,yes,2,May become KPI if the team agrees the outcome is specific enough
